game_title,app_store,status,timestamp
Wolcen: Lords of Mayhem,STEAM,AVAILABLE,2024-09-16T09:39:18.958418
Half-Life® 2,STEAM,AVAILABLE,2024-09-16T09:39:18.958418
Rage,STEAM,AVAILABLE,2024-09-16T09:39:18.958418
Far Cry® 3 Deluxe Edition,UPLAY,AVAILABLE,2024-09-16T09:39:18.958418
Far Cry® 3 Deluxe Edition,EPIC,AVAILABLE,2024-09-16T09:39:18.958418
Thief,EPIC,AVAILABLE,2024-09-16T09:39:18.958418
Thief,STEAM,AVAILABLE,2024-09-16T09:39:18.958418
Counter-Strike 2,STEAM,AVAILABLE,2024-09-16T09:39:18.958418
Assassin’s Creed® Revelations,UPLAY,AVAILABLE,2024-09-16T09:39:18.958418
Assassin’s Creed® Revelations,STEAM,AVAILABLE,2024-09-16T09:39:18.958418
The Elder Scrolls V: Skyrim,STEAM,AVAILABLE,2024-09-16T09:39:18.958418
Dota 2®,STEAM,AVAILABLE,2024-09-16T09:39:18.958418
Saints Row: The Third,STEAM,AVAILABLE,2024-09-16T09:39:18.958418
 Wolfenstein®: The New Order™,EPIC,AVAILABLE,2024-09-16T09:39:18.958418
 Wolfenstein®: The New Order™,STEAM,AVAILABLE,2024-09-16T09:39:18.958418
War Thunder,NONE,AVAILABLE,2024-09-16T09:39:18.958418
War Thunder,STEAM,AVAILABLE,2024-09-16T09:39:18.958418
Warframe,UNKNOWN,AVAILABLE,2024-09-16T09:39:18.958418
Warframe,EPIC,PATCHING,2024-09-16T09:39:18.958418
Warframe,STEAM,AVAILABLE,2024-09-16T09:39:18.958418
Assassin’s Creed® IV Black Flag™ - Gold Edition,UPLAY,AVAILABLE,2024-09-16T09:39:18.958418
Euro Truck Simulator 2,STEAM,AVAILABLE,2024-09-16T09:39:18.958418
SUPERHOT,EPIC,AVAILABLE,2024-09-16T09:39:18.958418
SUPERHOT,STEAM,AVAILABLE,2024-09-16T09:39:18.958418
SPINTIRES™,STEAM,AVAILABLE,2024-09-16T09:39:18.958418
Apollo 11 Lunar Landing Demo,NVIDIA,AVAILABLE,2024-09-16T09:39:18.958418
LARA CROFT AND THE TEMPLE OF OSIRIS™,STEAM,AVAILABLE,2024-09-16T09:39:18.958418
Rocket League®,EPIC,AVAILABLE,2024-09-16T09:39:18.958418
Rocket League®,STEAM,AVAILABLE,2024-09-16T09:39:18.958418
Fallout 4,STEAM,AVAILABLE,2024-09-16T09:39:18.958418
Assassin’s Creed® III,UPLAY,AVAILABLE,2024-09-16T09:39:18.958418
Call of Juarez® Gunslinger,STEAM,AVAILABLE,2024-09-16T09:39:18.958418
DayZ,STEAM,AVAILABLE,2024-09-16T09:39:18.958418
Divinity: Original Sin (Classic),STEAM,AVAILABLE,2024-09-16T09:39:18.958418
Don't Starve,STEAM,AVAILABLE,2024-09-16T09:39:18.958418
Neverwinter,STEAM,AVAILABLE,2024-09-16T09:39:18.958418
Far Cry® 4,UPLAY,AVAILABLE,2024-09-16T09:39:18.958418
Far Cry® 4,UPLAY,AVAILABLE,2024-09-16T09:39:18.958418
Far Cry® 4,EPIC,AVAILABLE,2024-09-16T09:39:18.958418
Far Cry® 4,STEAM,AVAILABLE,2024-09-16T09:39:18.958418
Guild Wars 2,NONE,AVAILABLE,2024-09-16T09:39:18.958418
Guild Wars 2,STEAM,AVAILABLE,2024-09-16T09:39:18.958418
Just Cause™ 3,STEAM,AVAILABLE,2024-09-16T09:39:18.958418
Lords Of The Fallen™ (2014),STEAM,AVAILABLE,2024-09-16T09:39:18.958418
Magicka 2,STEAM,AVAILABLE,2024-09-16T09:39:18.958418
Path of Exile,UNKNOWN,AVAILABLE,2024-09-16T09:39:18.958418
Path of Exile,EPIC,AVAILABLE,2024-09-16T09:39:18.958418
Path of Exile,STEAM,AVAILABLE,2024-09-16T09:39:18.958418
PlanetSide 2,STEAM,AVAILABLE,2024-09-16T09:39:18.958418
Sniper: Ghost Warrior 2,STEAM,AVAILABLE,2024-09-16T09:39:18.958418
South Park™: The Stick of Truth™,UPLAY,AVAILABLE,2024-09-16T09:39:18.958418
South Park™: The Stick of Truth™,EPIC,AVAILABLE,2024-09-16T09:39:18.958418
South Park™: The Stick of Truth™,STEAM,AVAILABLE,2024-09-16T09:39:18.958418
American Truck Simulator,STEAM,AVAILABLE,2024-09-16T09:39:18.958418
Mount & Blade: Warband,STEAM,AVAILABLE,2024-09-16T09:39:18.958418
Terraria,STEAM,AVAILABLE,2024-09-16T09:39:18.958418
Unturned,STEAM,AVAILABLE,2024-09-16T09:39:18.958418
The Flame in the Flood,STEAM,AVAILABLE,2024-09-16T09:39:18.958418
Far Cry® Primal,UPLAY,AVAILABLE,2024-09-16T09:39:18.958418
Far Cry® Primal,EPIC,AVAILABLE,2024-09-16T09:39:18.958418
Far Cry® Primal,STEAM,AVAILABLE,2024-09-16T09:39:18.958418
Rise of the Tomb Raider™,EPIC,AVAILABLE,2024-09-16T09:39:18.958418
Rise of the Tomb Raider™,STEAM,AVAILABLE,2024-09-16T09:39:18.958418
